Transaction_ID,Transaction_Date,Amount,Branch,Transaction_Type,Customer_Name
1262284200,2010-01-01 00:09:12,1524.31,Mumbai,Debit,Customer_780
1262284201,2010-01-01 00:11:21,9211.38,Tokyo,Debit,Customer_461
1262284202,2010-01-01 00:16:39,6260.69,Mumbai,Credit,Customer_768
1262284203,2010-01-01 00:32:46,2331.36,Mumbai,Debit,Customer_795
1262284204,2010-01-01 01:18:51,8907.13,London,Debit,Customer_726
1262284205,2010-01-01 02:12:06,5890.95,Mumbai,Credit,Customer_753
1262284206,2010-01-01 02:17:23,5497.29,London,Transfer,Customer_815
1262284207,2010-01-01 02:57:12,4299.86,Tokyo,Debit,Customer_520
1262284208,2010-01-01 03:01:47,3654.12,London,Transfer,Customer_576
1262284209,2010-01-01 03:47:29,6187.94,London,Debit,Customer_444
1262284210,2010-01-01 04:11:23,2440.88,New York,Transfer,Customer_137
1262284211,2010-01-01 04:40:35,2185.18,New York,Debit,Customer_507
1262284212,2010-01-01 05:13:54,147.21,Singapore,Credit,Customer_838
1262284213,2010-01-01 05:45:44,8583.87,Tokyo,Debit,Customer_161
1262284214,2010-01-01 05:56:31,-88.57,London,Debit,Customer_318
1262284215,2010-01-01 05:59:41,5753.04,Mumbai,Transfer,Customer_369
1262284216,2010-01-01 06:01:03,1508.91,Singapore,Debit,Customer_316
1262284217,2010-01-01 06:01:59,5648.6,Mumbai,Credit,Customer_196
1262284218,2010-01-01 06:30:56,9592.19,Tokyo,Credit,Customer_671
1262284219,2010-01-01 06:33:10,5861.69,Mumbai,Credit,Customer_739
1262284220,2010-01-01 07:14:05,7844.41,Singapore,Transfer,Customer_225
1262284221,2010-01-01 07:18:43,8935.13,Singapore,Credit,Customer_140
1262284222,2010-01-01 09:10:42,7211.86,New York,Credit,Customer_126
1262284223,2010-01-01 09:32:28,4378.57,Mumbai,Transfer,Customer_348
1262284224,2010-01-01 09:58:03,2017.79,Singapore,Debit,Customer_887
1262284225,2010-01-01 10:09:20,3908.35,London,Debit,Customer_838
1262284226,2010-01-01 10:13:54,3533.71,Tokyo,Transfer,Customer_974
1262284227,2010-01-01 10:37:32,5188.05,New York,Credit,Customer_575
1262284228,2010-01-01 11:13:11,3149.58,Singapore,Credit,Customer_590
1262284229,2010-01-01 11:21:16,989.69,Mumbai,Credit,Customer_129
1262284230,2010-01-01 11:28:47,426.81,London,Debit,Customer_183
1262284231,2010-01-01 11:41:51,1430.32,Singapore,Transfer,Customer_680
1262284232,2010-01-01 12:32:02,8920.19,New York,Credit,Customer_678
1262284233,2010-01-01 13:34:39,3192.41,Singapore,Credit,Customer_842
1262284234,2010-01-01 13:43:01,9741.51,New York,Debit,Customer_914
1262284235,2010-01-01 13:46:26,2438.91,Singapore,Transfer,Customer_77
1262284236,2010-01-01 13:55:53,7266.66,Mumbai,Debit,Customer_997
1262284237,2010-01-01 14:15:40,6999.17,Mumbai,Transfer,Customer_34
1262284238,2010-01-01 14:16:07,3700.09,New York,Credit,Customer_677
1262284239,2010-01-01 14:35:45,4829.06,Singapore,Transfer,Customer_842
1262284240,2010-01-01 14:37:51,9879.19,Mumbai,Debit,Customer_283
1262284241,2010-01-01 15:03:46,3173.65,Singapore,Credit,Customer_165
1262284242,2010-01-01 15:46:06,-14.46,New York,Transfer,Customer_558
1262284243,2010-01-01 16:02:44,804.1,Mumbai,Debit,Customer_573
1262284244,2010-01-01 16:52:09,9896.48,Mumbai,Transfer,Customer_854
1262284245,2010-01-01 16:59:17,875.36,New York,Transfer,Customer_663
1262284246,2010-01-01 17:18:31,4803.75,New York,Transfer,Customer_804
1262284247,2010-01-01 17:50:40,4780.53,Mumbai,Credit,Customer_635
1262284248,2010-01-01 18:19:35,3828.08,Singapore,Transfer,Customer_876
1262284249,2010-01-01 18:30:20,8487.06,Singapore,Transfer,Customer_197
1262284250,2010-01-01 18:36:23,6034.54,Mumbai,Transfer,Customer_340
1262284251,2010-01-01 18:36:40,1501.64,Tokyo,Credit,Customer_76
1262284252,2010-01-01 18:37:44,8605.74,Tokyo,Debit,Customer_856
1262284253,2010-01-01 19:18:31,149.44,London,Transfer,Customer_16
1262284254,2010-01-01 19:28:11,2299.27,Tokyo,Transfer,Customer_429
1262284255,2010-01-01 19:35:23,6666.99,Singapore,Credit,Customer_503
1262284256,2010-01-01 19:38:52,5507.64,New York,Transfer,Customer_365
1262284257,2010-01-01 19:44:44,2873.98,Tokyo,Debit,Customer_384
1262284258,2010-01-01 20:04:08,5447.43,Tokyo,Debit,Customer_808
1262284259,2010-01-01 20:06:40,2813.19,New York,Credit,Customer_445
1262284260,2010-01-01 20:53:06,3330.13,London,Credit,Customer_293
1262284261,2010-01-01 20:56:25,784.46,New York,Credit,Customer_941
1262284262,2010-01-01 21:18:36,8500.24,New York,Credit,Customer_495
1262284263,2010-01-01 21:49:08,3399.58,Mumbai,Transfer,Customer_568
1262284264,2010-01-01 21:55:27,4394.35,Tokyo,Credit,Customer_717
1262284265,2010-01-01 22:16:08,9866.98,New York,Transfer,Customer_72
1262284266,2010-01-01 22:31:43,1655.24,Mumbai,Debit,Customer_889
1262284267,2010-01-01 22:42:16,4895.74,Singapore,Debit,Customer_783
1262284268,2010-01-01 22:48:06,9890.44,Singapore,Credit,Customer_587
1262284269,2010-01-01 22:52:22,776.17,Singapore,Transfer,Customer_793
1262284270,2010-01-01 23:00:12,6225.89,New York,Debit,Customer_358
1262284271,2010-01-01 23:03:09,8797.64,Tokyo,Credit,Customer_893
1262284272,2010-01-01 23:29:53,9558.27,London,Debit,Customer_855
1262284273,2010-01-01 23:43:24,9295.77,Singapore,Credit,Customer_86
1262284274,2010-01-01 23:54:32,531.89,Mumbai,Transfer,Customer_248
1262284275,2010-01-02 00:27:59,7219.0,Mumbai,Debit,Customer_913
1262284276,2010-01-02 01:01:45,543.49,London,Credit,Customer_513
1262284277,2010-01-02 01:19:47,1623.94,New York,Credit,Customer_6
1262284278,2010-01-02 01:20:13,7636.57,Tokyo,Debit,Customer_41
1262284279,2010-01-02 01:20:17,2488.13,Mumbai,Credit,Customer_478
1262284280,2010-01-02 01:55:46,2766.07,Mumbai,Transfer,Customer_595
1262284281,2010-01-02 02:15:02,8849.89,Tokyo,Debit,Customer_276
1262284282,2010-01-02 02:19:30,9441.0,Singapore,Debit,Customer_466
1262284283,2010-01-02 02:30:17,4877.42,Tokyo,Credit,Customer_278
1262284284,2010-01-02 02:40:38,6246.47,Mumbai,Debit,Customer_351
1262284285,2010-01-02 02:55:03,1541.95,London,Transfer,Customer_754
1262284286,2010-01-02 03:11:07,3108.88,New York,Credit,Customer_739
1262284287,2010-01-02 03:39:22,3002.64,London,Transfer,Customer_114
1262284288,2010-01-02 03:44:50,2895.51,Mumbai,Transfer,Customer_958
